id,date,company,position,tags,location,salary_min,salary_max,url
1093611,2025-07-12 06:08:36+00:00,The Singleton Group,Work From Home Customer Service Representative,"['admin', 'customer support', 'data entry', 'customer service']",Worldwide,80000,90000,https://remoteOK.com/remote-jobs/remote-work-from-home-customer-service-representative-the-singleton-group-1093611
1093607,2025-07-11 14:43:16+00:00,Lobstr.Io,Backend Developer @ Lobstr.Io Python Scraping Celery,"['dev', 'python', 'backend', 'redis', 'remote', 'api', 'tech lead', 'docker', 'cybersecurity', 'architecture']",Worldwide,30000,40000,https://remoteOK.com/remote-jobs/remote-backend-developer-lobstr-io-python-scraping-celery-lobstr-io-1093607
1093606,2025-07-11 11:00:03+00:00,Caiz,Chief Executive Officer Crypto Blockchain,"['crypto', 'cryptocurrency', 'system', 'security', 'ceo', 'support', 'voice', 'financial', 'investor', 'finance', 'fintech', 'leader', 'strategy', 'lead', 'senior', 'legal', 'executive']",Worldwide,50000,100000,https://remoteOK.com/remote-jobs/remote-chief-executive-officer-crypto-blockchain-caiz-1093606
1093598,2025-07-10 15:00:10+00:00,Yassir,Senior Mobile Ios Engineer,"['ios', 'design', 'redis', 'frontend', 'back-end', 'technical', 'code', 'web', 'financial', 'fintech', 'cloud', 'mobile', 'senior', 'go', 'engineer', 'engineering', 'digital nomad']",Worldwide,60000,120000,https://remoteOK.com/remote-jobs/remote-senior-mobile-ios-engineer-yassir-1093598
1093596,2025-07-10 13:00:03+00:00,Anchorage Digital,Member Of Technical Staff Transparency,"['design', 'crypto', 'front-end', 'back-end', 'security', 'technical', 'support', 'software', 'test', 'growth', 'code', 'financial', 'finance', 'bank', 'legal', 'engineering', 'digital nomad']",United States,60000,115000,https://remoteOK.com/remote-jobs/remote-member-of-technical-staff-transparency-anchorage-digital-1093596
1093595,2025-07-10 11:00:04+00:00,Spearbit,Security Researcher,"['security', 'defi', 'ethereum', 'technical', 'senior']",Worldwide,60000,120000,https://remoteOK.com/remote-jobs/remote-security-researcher-spearbit-1093595
1093589,2025-07-09 11:37:47+00:00,Gymflow,Customer Onboarding & Support Specialist,"['saas', 'customer support', 'onboarding']",Worldwide,50000,70000,https://remoteOK.com/remote-jobs/remote-customer-onboarding-support-specialist-gymflow-1093589
1093588,2025-07-09 11:35:52+00:00,Prezly,Senior Ts React Developer,"['front end', 'javascript', 'typescript', 'react']",Worldwide,50000,80000,https://remoteOK.com/remote-jobs/remote-senior-ts-react-developer-prezly-1093588
1093571,2025-07-09 00:00:09+00:00,Cloudwalk,Ai Driven Engineer Ruby,"['technical', 'software', 'test', 'growth', 'code', 'financial', 'fintech', 'banking', 'bank', 'ruby', 'rails', 'management', 'marketing', 'engineer', 'engineering', 'backend']",Sã£O Paulo,62500,115000,https://remoteOK.com/remote-jobs/remote-ai-driven-engineer-ruby-cloudwalk-1093571
1093568,2025-07-08 08:00:04+00:00,Immutable,Senior Security Engineer,"['security', 'saas', 'web3', 'crypto', 'ethereum', 'game', 'gaming', 'technical', 'support', 'growth', 'leader', 'strategy', 'lead', 'senior', 'operations', 'health', 'engineer', 'recruitment']",Australia,45000,125000,https://remoteOK.com/remote-jobs/remote-senior-security-engineer-immutable-1093568
